Title,Year,Notes
This Land Is Mine,1943,d.- Jean Renoir (6 1/2)
Destination Tokyo,1943,d.- Delmer Daves (6 1/2)
Five Graves to Cairo,1943,d.- Billy Wilder (6 1/2)
Guadalcanal Diary,1943,d.- Lewis Seiler (6 1/2)
Hangmen Also Die,1943,d.- Fritz Lang (6 1/2)
Frankenstein Meets the Wolf Man,1943,d.- Roy William Neill (6 1/2)
Tennessee Johnson,1943,d.- William Dieterle (6 1/2)
Sahara,1943,d.- Zoltan Korda (6 1/2)
The Seventh Victim,1943,d.- Mark Robson (6 1/2)
Girl Crazy,1943,"d.- Norman Taurog, Busby Berkeley (6 1/2)"
The Hard Way,1943,d.- Vincent Sherman (6 1/2)
Crash Dive,1943,d.- Archie Mayo (6 1/2)
Air Force,1943,d.- Howard Hawks (6 1/2)
I Walked with a Zombie,1943,d.- Jacques Tourneur (6 1/2)
The Leopard Man,1943,d.- Jacques Tourneur (6 1/2)
Old Acquaintance,1943,d.- Vincent Sherman (6 1/2)
Bataan,1943,d.- Tay Garnett (6 1/2)
Claudia,1943,d.- Edmund Goulding (6 1/2)
Holy Matrimony,1943,d.- John M. Stahl (6 1/2)
Sherlock Holmes Faces Death,1943,d.- Roy William Neill (6 1/2)
A Guy Named Joe,1943,d.- Victor Fleming (6 1/2)
My Learned Friend,1943,"(BR) d.- Will Hay, Basil Dearden (6 1/2)"
My Friend Flicka,1943,d.- Harold D. Schuster (6 1/2)
Edge of Darkness,1943,d.- Lewis Milestone (6 1/2)
The Outlaw,1943,d.- Howard Hughes (6 1/2)
The Cross of Lorraine,1943,d.- Tay Garnett (6 1/2)
The Moon is Down,1943,d.- Irving Pichel (6 1/2)
Thousands Cheer,1943,d.- George Sidney (6 1/2)
Stormy Weather,1943,d.- Andrew L. Stone (6 1/2)
Action in the North Atlantic,1943,d.- Lloyd Bacon (6 1/2)
Journey Into Fear,1943,d.- Norman Foster (6 1/2)
Coney Island,1943,d.- Walter Lang (6 1/2)
China,1943,d.- John Farrow (6 1/2)
Hitler's Children,1943,d.- Edward Dmytryk (6 1/2)
The Constant Nymph,1943,d.- Edmund Goulding (6 1/2)
Wintertime,1943,d.- John Brahm (6 1/2)
The Fallen Sparrow,1943,d.- Richard Wallace (6 1/2)
No Time For Love,1943,d.- Mitchell Leisen (6 1/2)
Flesh and Fantasy,1943,d.- Julien Duvivier (6 1/2)
The Ghost Ship,1943,d.- Mark Robson (6 1/2)
Sherlock Holmes in Washington,1943,d.- Roy William Neill (6 1/2)
Andy Hardy’s Blonde Trouble,1943,d.- George B. Seitz (6 1/2)
Millions Like Us,1943,"(BR) d.- Sidney Gilliat, Frank Launder (6 1/2)"
"Hello Frisco, Hello",1943,d.- H. Bruce Humberstone (6 1/2)
Lady of Burlesque,1943,d.- William A. Wellman (6 1/2)
The Dark Tower,1943,(BR) d.- John Harlow (6 1/2)
The Demi-Paradise,1943,(BR) d.- Anthony Asquith (6 1/2)
Tarzan’s Desert Mystery,1943,d.- William Thiele (6 1/2)
Sherlock Holmes and the Secret Weapon,1943,d.- Roy William Neill (6 1/2)
Tarzan Triumphs,1943,d.- Wilhelm Thiele (6 1/2)
The Desperadoes,1943,d.- Charles Vidor (6 1/2)
Corvette K-225,1943,d.- Richard Rosson (6 1/2)
Cry ‘Havoc’,1943,d.- Richard Thorpe (6 1/2)
Immortal Sergeant,1943,d.- John M. Stahl (6 1/2)
Princess O’Rourke,1943,d.- Norman Krasna (6 1/2)
Mr. Lucky,1943,d.- H. C. Potter (6 1/2)
The Silver Fleet,1943,"(BR) d.- Vernon Sewell, Gordon Wellesley (6 1/2)"
North Star,1943,d.- Lewis Milestone (6 1/2)
Sabotage Agent,1943,(BR) d.- Harold S. Bucquet (6 1/2)
We Dive at Dawn,1943,(BR) d.- Anthony Asquith (6 1/2)
Hitler’s Madman,1943,d.- Douglas Sirk (6 1/2)
A Lady Takes a Chance,1943,d.- William A. Seiter (6 1/2)
Clancy Street Boys,1943,d.- William Beaudine (6 1/2)
They Met in the Dark,1943,(BR) d.- Carl Lamac (6 1/2)
Hers to Hold,1943,d.- Frank Ryan (6 1/2)
Above Suspicion,1943,d.- Richard Thorpe (6 1/2)
Presenting Lily Mars,1943,d.- Norman Taurog (6 1/2)
Background to Danger,1943,d.- Raoul Walsh (6 1/2)
They Got Me Covered,1943,d.- David Butler (6 1/2)
The Man In Grey,1943,(BR) d.- Leslie Arliss (6 1/2)
DuBarry Was a Lady,1943,d.- Roy Del Ruth (6 1/2)
Higher and Higher,1943,d.- Tim Whelan (6 1/2)
Hit the Ice,1943,d.- Charles Lamont (6 1/2)
Bombardier,1943,d.- Richard Wallace (6 1/2)
Lost Angel,1943,d.- Roy Rowland (6 1/2)
I Dood It,1943,d.- Vincente Minnelli (6 1/2)
A Night to Remember,1943,d.- Richard Wallace (6 1/2)
"San Demetrio, London",1943,(BR) d.- Charles Frend (6 1/2)
Whistling in Brooklyn,1943,d.- S. Sylvan Simon (6 1/2)
Let’s Face It,1943,d.- Sidney Lanfield (6 1/2)
It Ain’t Hay,1943,d.- Erle C. Kenton (6 1/2)
Footlight Glamour,1943,d.- Frank R. Strayer (6 1/2)
First Comes Courage,1943,d.- Dorothy Arzner (6 1/2)
White Savage,1943,d.- Arthur Lubin (6 1/2)
Crime Doctor,1943,d.- Michael Gordon (6 1/2)
Margin for Error,1943,d.- Otto Preminger (6 1/2)
Tarzan and the Huntress,1943,d.- Kurt Neumann (6 1/2)
Riders of the Rio Grande,1943,d.- Howard Bretherton (6 1/2)
After Midnight with Boston Blackie,1943,d.- Lew Landers (6 1/2)
Northern Pursuit,1943,d.- Raoul Walsh (6 1/2)
Destroyer,1943,d.- William A. Seiter (6 1/2)
Happy Go Lucky,1943,d.- Curtis Bernhardt (6 1/2)
A Stranger in Town,1943,d.- Roy Rowland (6 1/2)
It’s That Man Again,1943,(BR) d.- Walter Forde (6 1/2)
The Man from Down Under,1943,d.- Robert Z. Leonard (6 1/2)
The Sky’s the Limit,1943,d.- Edward H. Griffith (6 1/2)
Slightly Dangerous,1943,d.- Wesley Ruggles (6 1/2)
Jack London,1943,d.- Alfred Santell (6 1/2)
The Kansan,1943,d.- George Archinbaud (6)
Two Weeks to Live,1943,d.- Malcolm St. Clair (6)
Calling Dr. Death,1943,d.- Reginald Le Borg (6)
Johnny Come Lately,1943,d.- William K. Howard (6)
Hostages,1943,d.- Frank Tuttle (6)
Nine Men,1943,(BR) d.- Harry Watt (6 1/2)
Double Indemnity,1944,d.- Billy Wilder (7)
Laura,1944,d.- Otto Preminger (7)
Henry V*,1944,(BR) d.- Laurence Olivier (7)
Meet Me in St. Louis,1944,d.- Vincente Minnelli (7)
Jane Eyre,1944,d.- Robert Stevenson (7)
The Miracle of Morgan's Creek,1944,d.- Preston Sturges (7)
Going My Way,1944,d.- Leo McCarey (7)
"Hail, the Conquering Hero",1944,d.- Preston Sturges (7)
Since You Went Away,1944,d.- John Cromwell (7)
To Have and Have Not,1944,d.- Howard Hawks (7)
National Velvet,1944,d.- Clarence Brown (7)
Wilson,1944,d.- Henry King (7)
Gaslight,1944,d.- George Cukor (6 1/2)
Arsenic and Old Lace,1944,d.- Frank Capra ( 6 1/2)
The Woman in the Window,1944,d.- Fritz Lang (6 1/2)
Thirty Seconds Over Tokyo,1944,d.- Mervyn LeRoy (6 1/2)
The Uninvited,1944,d.- Lewis Allen (6 1/2)
Murder My Sweet,1944,d.- Edward Dmytryk (6 1/2)
Lifeboat,1944,d.- Alfred Hitchcock (6 1/2)
A Canterbury Tale,1944,"(BR) d.- Michael Powell, Emeric Pressburger (6 1/2)"
Mr. Skeffington,1944,d.- Vincent Sherman (6 1/2)
The Lodger,1944,d.- John Brahm (6 1/2)
This Happy Breed,1944,(BR) d.- David Lean (6 1/2)
The Way Ahead,1944,(BR) d.- Carol Reed (6 1/2)
The Scarlet Claw,1944,d.- Roy William Neill (6 1/2)
The Mask of Dimitrios,1944,d.- Jean Negulesco (6 1/2)
The White Cliffs of Dover,1944,d.- Clarence Brown (6 1/2)
The Seventh Cross,1944,d.- Fred Zinnemann (6 1/2)
Cover Girl,1944,d.- Charles Vidor (6 1/2)
Ministry of Fear,1944,d.- Fritz Lang (6 1/2)
On Approval,1944,(BR) d.- Clive Brook (6 1/2)
The Spider Woman,1944,d.- Roy William Neill (6 1/2)
The Princess and the Pirate,1944,"d.- David Butler, Sidney Lanfield (6 1/2)"
The Canterville Ghost,1944,d.- Jules Dassin (6 1/2)
Fanny By Gaslight,1944,(BR) d.- Anthony Asquith (6 1/2)
The Pearl of Death,1944,d.- Roy William Neill (6 1/2)
The Adventures of Mark Twain,1944,d.- Irving Rapper (6 1/2)
The Curse of the Cat People,1944,"d.- Robert Wise, Gunther von Fritsch (6 1/2)"
The Fighting Sullivans,1944,d.- Lloyd Bacon (6 1/2)
The Purple Heart,1944,d.- Lewis Milestone (6 1/2)
Between Two Worlds,1944,d.- Edward A. Blatt (6 1/2)
It Happened Tomorrow,1944,d.- Rene Clair (6 1/2)
Sunday Dinner for a Soldier,1944,d.- Lloyd Bacon (6 1/2)
Experiment Perilous,1944,d.- Jacques Tourneur (6 1/2)
Passage to Marseille,1944,d.- Michael Curtiz (6 1/2)
Wing and a Prayer,1944,d.- Henry Hathaway (6 1/2)
Bathing Beauty,1944,d.- George Sidney (6 1/2)
The Very Thought of You,1944,d.- Delmer Daves (6 1/2)
"Shine On, Harvest Moon",1944,d.- David Butler (6 1/2)
Mrs. Parkington,1944,d.- Tay Garnett (6 1/2)
Dragon Seed,1944,"d.- Harold S. Bucquet, Jack Conway (6 1/2)"
None But the Lonely Heart,1944,d.- Clifford Odets (6 1/2)
The Story of  Dr. Wassell,1944,d.- Cecil B. DeMille (6 1/2)
Bluebeard,1944,d.- Edgar G. Ulmer (6 1/2)
Kismet,1944,d.- William Dieterle (6 1/2)
The Keys of the Kingdom,1944,d.- John M. Stahl (6 1/2)
Phantom Lady,1944,d.- Robert Siodmak (6 1/2)
In Society,1944,d.- Jean Yarbrough (6 1/2)
Two Girls and a Sailor,1944,d.- Richard Thorpe (6 1/2)
Ali Baba and the Forty Thieves,1944,d.- Arthur Lubin (6 1/2)
Till We Meet Again,1944,d.- Frank Borzage (6 1/2)
House of Frankenstein,1944,d.- Erle C. Kenton (6 1/2)
Cobra Woman,1944,d.- Robert Siodmak (6 1/2)
"Tomorrow, the World!",1944,d.- Leslie Fenton (6 1/2)
Buffalo Bill,1944,d.- William A. Wellman (6 1/2)
The Whistler,1944,d.- William Castle (6 1/2)
Christmas Holiday,1944,d.- Robert Siodmak (6 1/2)
I’ll Be Seeing You,1944,d.- William Dieterle (6 1/2)
Frenchman’s Creek,1944,d.- Mitchell Leisen (6 1/2)
The Heavenly Body,1944,d.- Alexander Hall (6 1/2)
Summer Storm,1944,d.- Douglas Sirk (6 1/2)
Can’t Help Singing,1944,d.- Frank Ryan (6 1/2)
Address Unknown,1944,d.- William Cameron Menzies (6 1/2)
Step Lively,1944,d.- Tim Whelan (6 1/2)
Days of Glory,1944,d.- Jacques Tourneur (6 1/2)
Mademoiselle Fifi,1944,d.- Robert Wise (6 1/2)
Lady in the Dark,1944,d.- Mitchell Leisen (6 1/2)
The Falcon in Hollywood,1944,d.- Gordon Douglas (6 1/2)
The Conspirators,1944,d.- Jean Negulesco (6 1/2)
And Now Tomorrow,1944,d.- Irving Pichel (6 1/2)
The Halfway House,1944,(BR) d.- Basil Dearden (6 1/2)
Gypsy Wildcat,1944,d.- Roy William Neill (6 1/2)
Uncertain Glory,1944,d.- Raoul Walsh (6 1/2)
Mark of the Whistler,1944,d.- William Castle (6 1/2)
The Climax,1944,d.- George Waggner (6 1/2)
Music for Millions,1944,d.- Henry Koster (6 1/2)
The Rats of Tobruk,1944,(AUS) d.- Charles Chauvel (6 1/2)
"See Here, Private Hargrove",1944,d.- Wesley Ruggles (6 1/2)
Dark Waters,1944,d.- Andre De Toth (6 1/2)
Up in Arms,1944,d.- Elliott Nugent (6 1/2)
Casanova Brown,1944,d.- Sam Wood (6 1/2)
Hotel Reserve,1944,"(BR) d.- L. Comfort, M. Greenbaum, V. Hanbury (6 1/2)"
Tender Comrade,1944,d.- Edward Dmytryk (6 1/2)
Mr. Winkle Goes to War,1944,d.- Alfred E. Green (6 1/2)
The Fighting Seabees,1944,d.- Edward Ludwig (6 1/2)
Dead Man’s Eyes,1944,d. Reginald Le Borg (6 1/2)
The Missing Juror,1944,d.- Budd Boetticher (6 1/2)
An American Romance,1944,d.- King Vidor (6 1/2)
The Return of the Vampire,1944,d.- Lew Landers (6 1/2)
Strangers in the Night,1944,d.- Anthony Mann (6 1/2)
Winged Victory,1944,d.- George Cukor (6 1/2)
Janie,1944,d.- Michael Curtiz (6 1/2)
When Strangers Marry,1944,d.- William Castle (6 1/2)
Here Come the Waves,1944,d.- Mark Sandrich (6 1/2)
Broadway Rhythym,1944,d.- Roy Del Ruth (6 1/2)
Tall in the Saddle,1944,d.- Edwin L. Marin (6 1/2)
Charlie Chan in the Secret Service,1944,d.- Phil Rosen (6 1/2)
Guest in the House,1944,d.- John Brahm (6 1/2)
Time Flies,1944,(BR) d.- Walter Forde (6 1/2)
The Doughgirls,1944,d.- James V. Kern (6 1/2)
In Our Time,1944,d.- Vincent Sherman (6 1/2)
Standing Room Only,1944,d.- Sidney Lanfield (6 1/2)
The Invisible Man’s Revenge,1944,d.- Ford Beebe (6 1/2)
Action in Arabia,1944,d.- Leonide Moguy (6 1/2)
The Halfway House,1944,(BR) d.- Basil Dearden (6 1/2)
The Bridge of San Luis Rey,1944,d.- Rowland V. Lee (6 1/2)
Meet the People,1944,d.- Charles Reisner (6)
The Mummy’s Ghost,1944,d.- Reginald Le Borg (6)
Charlie Chan in the Chinese Cat,1944,d.- Phil Rosen (6)
Show Business,1944,d.- Edwin L. Marin (6)
Black Magic,1944,d.- Phil Rosen (6)
Fiddlers Three,1944,(BR) d.- Harry Watt (6)
The Impatient Years,1944,d.- Irving Cummings (6)
Gentle Annie,1944,d.- Andrew Marton (6)
The Lost Weekend,1945,d.- Billy Wilder (7)
Brief Encounter,1945,(BR) d.- David Lean (7)
The Way to the Stars,1945,(BR) d.- Anthony Asquith (7)
Mildred Pierce,1945,d.- Michael Curtiz (7)
Scarlet Street,1945,d.- Fritz Lang (7)
A Tree Grows in Brooklyn,1945,d.- Elia Kazan (7)
I Know Where I'm Going,1945,"(BR) d.- Michael Powell, Emeric Pressburger (7)"
A Walk in the Sun,1945,d.- Lewis Milestone (7)
Leave Her to Heaven,1945,d.- John M. Stahl (7)
And Then There Were None,1945,d.- Rene Clair (7)
Dead of Night,1945,"(BR) d.- A. Cavalcanti, B. Dearden, C. Crichton, R. Hamer (7)"
The Southerner,1945,d.- Jean Renoir (6 1/2)
They Were Expendable,1945,d.- John Ford (6 1/2)
The Bells of  St. Marys,1945,d.- Leo McCarey (6 1/2)
Spellbound,1945,d.- Alfred Hitchcock (6 1/2)
Detour,1945,d.- Edgar G. Ulmer (6 1/2)
Blithe Spirit,1945,(BR) d.- David Lean (6 1/2)
The Picture of Dorian Gray,1945,d.- Albert Lewin (6 1/2)
Wonder Man,1945,d.- H. Bruce Humberstone (6 1/2)
Hangover Square,1945,d.- John Brahm (6 1/2)
The Body Snatcher,1945,d.- Robert Wise (6 1/2)
Story of G.I. Joe,1945,d.- William A. Wellman (6 1/2)
The Corn is Green,1945,d.- Irving Rapper (6 1/2)
The Enchanted Cottage,1945,d.- John Cromwell (6 1/2)
Our Vines Have Tender Grapes,1945,d.- Roy Rowland (6 1/2)
Pride of the Marines,1945,d.- Delmer Daves (6 1/2)
Objective Burma!,1945,d.- Raoul Walsh (6 1/2)
A Bell for Adano,1945,d.- Henry King (6 1/2)
Christmas in Connecticut,1945,d.- Peter Godfrey (6 1/2)
Love Letters,1945,d.- William Dieterle (6 1/2)
Isle of the Dead,1945,d.- Mark Robson (6 1/2)
Kitty,1945,d.- Mitchell Leisen (6 1/2)
The Horn Blows at Midnight,1945,d.- Raoul Walsh (6 1/2)
Anchors Aweigh,1945,d.- George Sidney (6 1/2)
"Murder, He Says",1945,d.- George Marshall (6 1/2)
The Clock,1945,d.- Vincente Minnelli (6 1/2)
The Thin Man Goes Home,1945,d.- Richard Thorpe (6 1/2)
The Suspect,1945,d.- Robert Siodmak (6 1/2)
Back to Bataan,1945,d.- Edward Dmytryk (6 1/2)
Incendiary Blonde,1945,d.- George Marshall (6 1/2)
Cornered,1945,d.- Edward Dmytryk (6 1/2)
The Woman in Green,1945,d.- Roy William Neill (6 1/2)
The House of Fear,1945,d.- Roy William Neill (6 1/2)
The Spanish Main,1945,d.- Frank Borzage (6 1/2)
Son of Lassie,1945,d.- S. Sylvan Simon (6 1/2)
Blood on the Sun,1945,d.- Frank Lloyd (6 1/2)
Fallen Angel,1945,d.- Otto Preminger (6 1/2)
The Naughty Nineties,1945,d.- Jean Yarbrough (6 1/2)
The Wicked Lady,1945,(BR) d.- Leslie Arliss (6 1/2)
The Cheaters,1945,d.- Joseph Kane (6 1/2)
The Dolly Sisters,1945,d.- Irving Cummings (6 1/2)
Lady on a Train,1945,d.- Charles David (6 1/2)
Junior Miss,1945,d.- George Seaton (6 1/2)
God Is My Co-Pilot,1945,d.- Robert Florey (6 1/2)
Rhapsody in Blue,1945,d.- Irving Rapper (6 1/2)
State Fair,1945,d.- Walter Lang (6 1/2)
Captain Kidd,1945,d.- Rowland V. Lee (6 1/2)
Caesar and Cleopatra,1945,(BR) d.- Gabriel Pascal (6 1/2)
Thrill of a Romance,1945,d.- Richard Thorpe (6 1/2)
The Man I Love,1945,d.- Raoul Walsh (6 1/2)
House of Dracula,1945,d.- Erle C. Kenton (6 1/2)
Counter-Attack,1945,d.- Zoltan Korda (6 1/2)
Week-End at the Waldorf,1945,d.- Robert Z. Leonard (6 1/2)
The Valley of Decision,1945,d.- Tay Garnett (6 1/2)
A Song to Remember,1945,d.- Charles Vidor (6 1/2)
Danger Signal,1945,d.- Robert Florey (6 1/2)
Here Come the Co-eds,1945,d.- Jean Yarbrough (6 1/2)
Pursuit to Algiers,1945,d.- Roy William Neill (6 1/2)
Guest Wife,1945,d.- Sam Wood (6 1/2)
The Affairs of Susan,1945,d.- William A. Seiter (6 1/2)
The House on 92nd Street,1945,d.- Henry Hathaway (6 1/2)
Diamond Horseshoe,1945,d.- George Seaton (6 1/2)
The Rake’s Progress,1945,(BR) d.- Sidney Gilliat (6 1/2)
A Place of One’s Own,1945,(BR) d.- Bernard Knowles (6 1/2)
The Stork Club,1945,d.- Hal Walker (6 1/2)
Conflict,1945,d.- Curtis Bernhardt (6 1/2)
San Antonio,1945,d.- David Butler (6 1/2)
Paris Underground,1945,d.- Gregory Ratoff (6 1/2)
A Thousand and One Nights,1945,d.- Alfred E. Green (6 1/2)
Bells of Rosarita,1945,d.- Frank McDonald (6 1/2)
Strange Illusion,1945,d.- Edgar G. Ulmer (6 1/2)
A Medal for Benny,1945,d.- Irving Pichel (6 1/2)
The Brighton Strangler,1945,d.- Max Nosseck (6 1/2)
Without Love,1945,d.- Harold S. Bucquet (6 1/2)
Pan-Americana,1945,d.- John H. Auer (6 1/2)
A Royal Scandal,1945,"d.- Ernst Lubitsch, Otto Preminger (6 1/2)"
You Came Along,1945,d.- John Farrow (6 1/2)
Hotel Berlin,1945,d.- Peter Godfrey (6 1/2)
Perfect Strangers,1945,(BR) d.- Alexander Korda (6 1/2)
Waterloo Road,1945,(BR) d.- Sidney Gilliat (6 1/2)
Along Came Jones,1945,d.- Stuart Heisler (6 1/2)
Her Highness and the Bellboy,1945,d.- Richard Thorpe (6 1/2)
Yolanda and the Thief,1945,d.- Vincent Minnelli (6 1/2)
Confidential Agent,1945,d.- Herman Shumlin (6 1/2)
Madonna of the Seven Moons,1945,(BR) d.- Arthur Crabtree (6 1/2)
This Love of Ours,1945,d.- William Dieterle (6 1/2)
Dillinger,1945,d.- Max Nosseck (6 1/2)
Paris Underground,1945,d.- Gregory Ratoff (6 1/2)
My Name is Julia Ross,1945,d.- Joseph H. Lewis (6 1/2)
The Brighton Strangler,1945,d.- Max Nosseck (6 1/2)
The Power of the Whistler,1945,d.- Lew Landers (6 1/2)
The Strange Affair of Uncle Harry,1945,d.- Robert Siodmak (6 1/2)
Thunderhead - Son of Flicka,1945,d.- Louis King (6 1/2)
The Vampire’s Ghost,1945,d.- Lesley Selander (6 1/2)
Adventure,1945,d.- Victor Fleming (6 1/2)
The Falcon in San Fransisco,1945,d.- Joseph H. Lewis (6 1/2)
Saratoga Trunk,1945,d.- Sam Wood (6 1/2)
It’s in the Bag,1945,d.- Richard Wallace (6 1/2)
I Live In Grosvenor Square,1945,(BR) d.- Herbert Wilcox (6 1/2)
The Man Who Walked Alone,1945,d.- Christy Cabanne (6 1/2)
This Man’s Navy,1945,d.- William A. Wellman (6 1/2)
Allotment Wives,1945,d.- William Nigh (6 1/2)
Come Out Fighting,1945,d.- William Beaudine (6 1/2)
The Scarlet Clue,1945,d.- Phil Rosen (6 1/2)
Docks of New York,1945,d.- Wallace Fox (6 1/2)
The Shanghai Cobra,1945,d.- Phil Karlson (6 1/2)
Flame of Barbary Coast,1945,d.- Joseph Kane (6 1/2)
The Bullfighters,1945,d.- Malcolm St. Clair (6 1/2)
"What’s Next, Corporal Hargrove?",1945,d.- Richard Thorpe (6 1/2)
The Great Flamarion,1945,d.- Anthony Mann (6 1/2)
Over 21,1945,d.- Charles Vidor (6 1/2)
Tonight and Every Night,1945,d.- Victor Saville (6 1/2)
Dick Tracy,1945,d.- William Berke (6 1/2)
Salty O’Rourke,1945,d.- Raoul Walsh (6 1/2)
Roughly Speaking,1945,d.- Michael Curtiz (6)
Dakota,1945,d.- Joseph Kane (6)
She Wouldn’t Say No,1945,d.- Alexander Hall (6)
The Adventures of Rusty,1945,d.- Paul Burnford (6)
Don’t Fence Me In,1945,d.- John English (6)
Strange Confession,1945,d.- John Hoffman (6)
Dakota,1945,d.- Joseph Kane (6)
Crime Doctor’s Warning,1945,d.- William Castle (6)
Green Grass of Wyoming,1945,d.- Louis King (6)
That’s the Spirit,1945,d.- Charles Lamont (6)
Allotment Wives,1945,d.- William Nigh (6)
The Phantom Speaks,1945,d.- John English (6)
They Were Sisters,1945,(BR) d.- Arthur Crabtree (6)
Pardon My Past,1945,d.- Leslie Fenton (5 1/2)
It's a Wonderful Life,1946,d.- Frank Capra (7)
The Best Years of Our Lives,1946,d.- William Wyler (7)
Great Expectations,1946,(BR) d.- David Lean (7)
A Matter of Life and Death,1946,"(BR) d.- Michael Powell, Emeric Pressburger (7)"
The Seventh Veil,1946,(BR) d.- Compton Bennett (7)
The Big Sleep,1946,d.- Howard Hawks (7)
The Postman Always Rings Twice,1946,d.- Tay Garnett (7)
My Darling Clementine,1946,d.- John Ford (7)
Green for Danger,1946,(BR) d.- Sidney Gilliat (7)
Notorious,1946,d.- Alfred Hitchcock (7)
The Killers,1946,d.- Robert Siodmak (7)
Gilda,1946,d.- Charles Vidor (7)
Humoresque,1946,d.- Jean Negulesco (6 1/2)
The Spiral Staircase,1946,d.- Robert Siodmak (6 1/2)
The Yearling,1946,d.- Clarence Brown (6 1/2)
To Each His Own,1946,d.- Mitchell Liesen (6 1/2)
Anna and the King of  Siam,1946,d.- John Cromwell (6 1/2)
Duel in the Sun,1946,d.- King Vidor (6 1/2)
The Blue Dahlia,1946,d.- George Marshall (6 1/2)
Cluny Brown,1946,d.- Ernst Lubitsch (6 1/2)
The Razor's Edge,1946,d.- Edmund Goulding (6 1/2)
The Stranger,1946,d.- Orson Welles (6 1/2)
Road to Utopia,1946,d.- Hal Walker (6 1/2)
The Dark Mirror,1946,d.- Robert Siodmak (6 1/2)
The Strange Love of Martha Ivers,1946,d.- Lewis Milestone (6 1/2)
The Captive Heart,1946,(BR) d.- Basil Dearden (6 1/2)
I See a Dark Stranger,1946,(BR) d.- Frank Launder (6 1/2)
The Time of Their Lives,1946,d.- Charles Barton (6 1/2)
Sister Kenny,1946,d.- Dudley Nichols (6 1/2)
Deception,1946,d.- Irving Rapper (6 1/2)
A Stolen Life,1946,d.- Curtis Bernhardt (6 1/2)
Diary of a Chambermaid,1946,d.- Jean Renoir (6 1/2)
Canyon Passage,1946,d.- Jacques Tourneur (6 1/2)
The Black Angel,1946,d.- Roy William Neill (6 1/2)
Decoy,1946,d.- Jack Bernhard (6 1/2)
Monsieur Beaucaire,1946,d.- George Marshall (6 1/2)
Two Years Before the Mast,1946,d.- John Farrow (6 1/2)
The Green Years,1946,d.- Victor Saville (6 1/2)
Somewhere in the Night,1946,d.- Joseph L. Mankiewicz (6 1/2)
The Kid from Brooklyn,1946,d.- Norman Z. McLeod (6 1/2)
Angel on My Shoulder,1946,d.- Archie Mayo (6 1/2)
The Locket,1946,d.- John Brahm (6 1/2)
Tomorrow is Forever,1946,d.- Irving Pichel (6 1/2)
The Harvey Girls,1946,d.- George Sidney (6 1/2)
Three Strangers,1946,d.- Jean Negulesco (6 1/2)
My Reputation,1946,d.- Curtis Bernhardt (6 1/2)
A Night in Casablanca,1946,d.- Archie Mayo (6 1/2)
The Beast with Five Fingers,1946,d.- Robert Florey (6 1/2)
Bad Bascomb,1946,d.- S. Sylvan Simon (6 1/2)
Bedlam,1946,d.- Mark Robson (6 1/2)
Undercurrent,1946,d.- Vincente Minnelli (6 1/2)
The Jolson Story,1946,d.- Alfred E. Green (6 1/2)
Of Human Bondage,1946,d.- Edmund Goulding (6 1/2)
The Dark Corner,1946,d.- Henry Hathaway (6 1/2)
One More Tomorrow,1946,d.- Peter Godfrey (6 1/2)
Courage of Lassie,1946,d.- Fred M. Wilcox (6 1/2)
Because of Him,1946,d.- Richard Wallace (6 1/2)
Till the Clouds Roll By,1946,d.- Richard Whorf (6 1/2)
Two Guys from Milwaukee,1946,d.- David Butler (6 1/2)
Terror by Night,1946,d.- Roy William Neill (6 1/2)
Cloak and Dagger,1946,d.- Fritz Lang (6 1/2)
Dragonwyck,1946,d.- Joseph L. Mankiewicz (6 1/2)
